UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,SOUNDDISC,2016,6,2,The last Olympian [sound recording] / Rick Riordan.,"Riordan, Rick","Mythology Greek Juvenile fiction, Jackson Percy Fictitious character Juvenile fiction, Fate and fatalism Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Titans Mythology Juvenile fiction","Listening Library/Random House Audio,",p2009.
Digital,OverDrive,EBOOK,2016,6,4,"The Lightning Thief: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 1",Rick Riordan,"Comic and Graphic Books, Young Adult Fiction",Disney Digital Books,2016
Physical,Horizon,BOOK,2016,6,28,"Percy Jackson & the Olympians. Book three, The Titan's curse : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by Gregory Guilhaumond ; lettering by Chris Dickey.","Riordan, Rick","Mythology Greek Comic books strips etc, Artemis Greek deity Comic books strips etc, Animals Mythical, Monsters Comic books strips etc, Titans Mythology v Comic books strips etc, Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction, Cartoons and comics, Graphic novels","Disney/Hyperion Books,",2013.
Digital,OverDrive,EBOOK,2016,6,3,"The Sea of Monsters: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 2",Rick Riordan,"Mythology, Young Adult Fiction",Disney Digital Books,2016
Digital,OverDrive,AUDIOBOOK,2016,7,11,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2 (unabridged) (Unabridged)",Rick Riordan,"Fantasy, Mythology, Young Adult Fiction",Books on Tape,2007
Physical,Horizon,SOUNDDISC,2016,7,3,Percy Jackson & the Olympians [sound recording] : the demigod files / Rick Riordan.,"Riordan, Rick","Mythology Greek Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Fantasy","Listening Library,",p 2009.
Physical,Horizon,SOUNDDISC,2016,7,1,Percy Jackson's Greek heroes [sound recording] / Rick Riordan.,"Riordan, Rick","Jackson Percy Fictitious character Juvenile fiction, Gods Greek Juvenile fiction, Mythology Greek Juvenile fiction, Jackson Percy Fictitious character Fiction, Gods Greek Fiction, Mythology Greek Fiction, Childrens audiobooks","Listening Library,",[2015]
Physical,Horizon,SOUNDDISC,2016,7,2,The sea of monsters [sound recording] / Rick Riordan.,"Riordan, Rick","Jackson Percy Fictitious character Juvenile fiction, Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Identity Philosophical concept Juvenile fiction, Monsters Juvenile fiction, Camps Juvenile fiction, Friendship Juvenile fiction, Fathers and sons Juvenile fiction, Poseidon Greek deity Juvenile fiction, Zeus Greek deity Juvenile fiction, Voyages and travels Juvenile fiction, Mythology Greek Fiction, Identity Fiction, Monsters Fiction, Friendship Fiction, Voyages and travels Fiction, Zeus Greek deity Fiction, Fantasy","Listening Library ; Distributed by Recorded Books,",p2006.
Digital,OverDrive,EBOOK,2016,7,12,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2",Rick Riordan,"Fantasy, Mythology, Young Adult Fiction",Disney Digital Books,2011
Physical,Horizon,SOUNDDISC,2016,7,3,The demigod diaries [sound recording] / Rick Riordan.,"Riordan, Rick","Jackson Percy Fictitious character Juvenile fiction, Mythology Roman Juvenile fiction, Mythology Greek Juvenile fiction, Monsters Juvenile fiction, Diaries Fiction","Listening Library/Random House Audio,",p2012.
Physical,Horizon,BOOK,2016,7,7,Percy Jackson's Greek gods / Rick Riordan ; illustrated by John Rocco.,"Riordan, Rick","Gods Greek Juvenile fiction, Jackson Percy Fictitious character Juvenile fiction, Gods Greek Juvenile literature, Gods Greek Fiction, Jackson Percy Fictitious character Fiction, Gods Greek","Disney-Hyperion Books,",[2014]
Physical,Horizon,VIDEODISC,2016,7,21,"Percy Jackson. Sea of monsters [videorecording] / 20th Century Fox ; Fox 2000 Pictures ; in association with TSG Entertainment ; a Sunswept Entertainment/1492 Pictures production ; produced by Karen Rosenfelt, Mark Morgan ; directed by Thor Freudenthal ; screenplay by Marc Guggenheim.",,"Jackson Percy Fictitious character Drama, Gods Greek Drama, Mythology Greek Drama, Monsters Drama, Argonauts Greek mythology Drama, Bermuda Triangle Drama, Feature films, Action and adventure films, Fantasy films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","20th Century Fox Home Entertainment,",[2013].
Physical,Horizon,SOUNDDISC,2016,7,3,The last Olympian [sound recording] / Rick Riordan.,"Riordan, Rick","Mythology Greek Juvenile fiction, Jackson Percy Fictitious character Juvenile fiction, Fate and fatalism Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Titans Mythology Juvenile fiction","Listening Library/Random House Audio,",p2009.
Digital,OverDrive,AUDIOBOOK,2016,7,6,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5 (unabridged) (Unabridged)",Rick Riordan,"Fantasy, Mythology, Young Adult Fiction",Books on Tape,2009
Digital,OverDrive,AUDIOBOOK,2016,7,4,"The Titan's Curse: Percy Jackson and the Olympians Series, Book 3 (unabridged) (Unabridged)",Rick Riordan,"Fantasy, Mythology, Young Adult Fiction",Books on Tape,2007
Digital,OverDrive,EBOOK,2016,7,12,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5",Rick Riordan,"Mythology, Young Adult Fiction",Disney Digital Books,2011
Digital,OverDrive,EBOOK,2016,7,2,"The Lightning Thief: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 1",Rick Riordan,"Comic and Graphic Books, Young Adult Fiction",Disney Digital Books,2016
Physical,Horizon,BOOK,2016,7,29,"Percy Jackson & the Olympians. Book three, The Titan's curse : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by Gregory Guilhaumond ; lettering by Chris Dickey.","Riordan, Rick","Mythology Greek Comic books strips etc, Artemis Greek deity Comic books strips etc, Animals Mythical, Monsters Comic books strips etc, Titans Mythology v Comic books strips etc, Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction, Cartoons and comics, Graphic novels","Disney/Hyperion Books,",2013.
Digital,OverDrive,AUDIOBOOK,2016,7,8,Percy Jackson's Greek Gods (Unabridged),Rick Riordan,"Fantasy, Mythology, Young Adult Fiction",Books on Tape,2014
Digital,OverDrive,EBOOK,2016,7,5,"The Staff of Serapis: Percy Jackson & The Kane Chronicles Crossover Series, Book 2",Rick Riordan,"Fantasy, Mythology, Short Stories, Young Adult Fiction",Disney Digital Books,2015
Digital,OverDrive,AUDIOBOOK,2016,7,6,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4 (unabridged) (Unabridged)",Rick Riordan,"Fantasy, Mythology, Young Adult Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2016,7,19,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1 (unabridged) (Unabridged)",Rick Riordan,"Fantasy, Mythology, Young Adult Fiction",Books on Tape,2006
Digital,OverDrive,EBOOK,2016,7,2,"The Titan's Curse: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 3",Rick Riordan,"Comic and Graphic Books, Mythology, Young Adult Fiction",Disney Digital Books,2016
Physical,Horizon,BOOK,2016,7,3,Demigods and monsters : your favorite authors on Rick Riordan's Percy Jackson and the Olympians series / edited and original introduction by Rick Riordan ; with Leah Wilson.,,"Riordan Rick Percy Jackson the Olympians Criticism and interpretation Juvenile literature, Childrens stories American History and criticism Juvenile literature, Fantasy fiction American History and criticism Juvenile literature","Smart Pop, an imprint of BenBella Books, Inc.,",[2013]
Physical,Horizon,BOOK,2016,7,24,"Percy Jackson & the Olympians. Book one, The lightning thief : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by José Villarrubia ; layouts by Orpheus Collar ; lettering by Chris Dickey.","Riordan, Rick","Mythology Greek Comic books strips etc, Camps Comic books strips etc, Friendship Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Hades Greek deity Comic books strips etc, Zeus Greek deity Comic books strips etc, Cartoons and comics, Graphic novels, Fantasy comic books strips etc","Disney/Hyperion Books,",2010.
Digital,OverDrive,EBOOK,2016,7,2,"The Staff of Serapis: Percy Jackson & The Kane Chronicles Crossover Series, Book 2",Rick Riordan,"Fantasy, Mythology, Short Stories, Young Adult Fiction",Disney Digital Books,2016
Digital,OverDrive,AUDIOBOOK,2016,7,6,"The Demigod Files: Percy Jackson and the Olympians Series, Book 4.5 (unabridged) (Unabridged)",Rick Riordan,"Fantasy, Mythology, Short Stories, Young Adult Fiction",Books on Tape,2009
Digital,OverDrive,EBOOK,2016,7,5,"The Crown of Ptolemy: Percy Jackson & The Kane Chronicles Crossover Series, Book 3",Rick Riordan,"Fantasy, Juvenile Fiction, Mythology, Short Stories",Disney Digital Books,2016
Physical,Horizon,SOUNDDISC,2016,7,3,Percy Jackson's Greek Gods / Rick Riordan.,"Riordan, Rick","Jackson Percy Fictitious character Juvenile fiction, Gods Greek Juvenile fiction, Jackson Percy Fictitious character Fiction, Gods Greek Fiction","Random House/Listening Library,",[2014]
Digital,OverDrive,EBOOK,2016,7,2,Percy Jackson's Greek Gods,Rick Riordan,"Juvenile Fiction, Mythology",Disney Digital Books,2016
Digital,OverDrive,EBOOK,2016,7,5,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4",Rick Riordan,"Mythology, Young Adult Fiction",Disney Digital Books,2011
Digital,OverDrive,EBOOK,2016,7,5,"The Son of Sobek: Percy Jackson & The Kane Chronicles Crossover Series, Book 1",Rick Riordan,"Fantasy, Mythology, Short Stories, Young Adult Fiction",Disney Digital Books,2015
Digital,OverDrive,EBOOK,2016,7,7,"The Titan's Curse: Percy Jackson and the Olympians, Book 3",Rick Riordan,"Mythology, Young Adult Fiction",Disney Digital Books,2011
Digital,OverDrive,AUDIOBOOK,2016,7,4,Percy Jackson's Greek Heroes (Unabridged),Rick Riordan,Juvenile Fiction,Books on Tape,2015
Physical,Horizon,BOOK,2016,7,27,"Percy Jackson & the Olympians. Book two, The sea of monsters : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; lettering by Chris Dickey.","Riordan, Rick","Jackson Percy Fictitious character Comic books strips etc, Mythology Greek Comic books strips etc, Monsters Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Riordan Rick Sea of monsters Adaptations, Graphic novels","Disney-Hyperion Books,",c2013.
Physical,Horizon,VIDEODISC,2016,7,7,"Percy Jackson & the Olympians [videorecording] : the lightning thief / 20th Century Fox ; Dune Entertainment ; Fox 2000 Pictures ; a 1492 Pictures/Sunswept Entertainment production ; produced by Karen Rosenfelt, Christ Columbus, Michael Barnathan, Mark Radcliff ; screenplay by Craig Titley ; directed by Chris Columbus.",,"Jackson Percy Fictitious character Drama, Teenagers Conduct of life Drama, Zeus Greek deity Drama, Gods Greek Drama, Mythology Greek Drama, Malicious accusation Drama, Fantasy films, Action and adventure films, Feature films, Fiction films, Video recordings for people with visual disabilities, Video recordings for the hearing impaired","20th Century Fox Home Entertainment,",c2010.
Digital,OverDrive,EBOOK,2016,7,4,Demigods and Monsters: Your Favorite Authors on Rick Riordan's Percy Jackson and the Olympians Series,Rick Riordan,"Juvenile Nonfiction, Literary Criticism",Perseus Books Group,2013
Physical,Horizon,BOOK,2016,7,2,"Papercutz slices. [3], Percy Jerkson & the ovolactovegetarians / Margo Kinney-Petrucha & Stefan Petrucha, writers ; Rick Parker, artist.","Kinney-Petrucha, Margo","Jackson Percy Fictitious character Parodies imitations etc Comic books strips etc, Titans Mythology Parodies imitations etc Comic books strips etc, Animals Mythical Parodies imitations etc Comic books strips etc, Monsters Parodies imitations etc Comic books strips etc, Mythology Greek Parodies imitations etc Comic books strips etc, Parodies Comic books strips etc, Cartoons and comics, Graphic novels","Papercutz,",c2011.
Physical,Horizon,BOOK,2016,7,21,Percy Jackson's Greek heroes / Rick Riordan ; illustrated by Jon Rocco.,"Riordan, Rick","Mythology Greek Juvenile fiction, Gods Greek Juvenile fiction","Disney-Hyperion,",2015.
Digital,OverDrive,EBOOK,2016,7,4,Percy Jackson's Greek Heroes,Rick Riordan,"Classic Literature, Mythology, Young Adult Fiction",Disney Digital Books,2016
Digital,OverDrive,EBOOK,2016,7,1,"The Sea of Monsters: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 2",Rick Riordan,"Mythology, Young Adult Fiction",Disney Digital Books,2016
Digital,OverDrive,EBOOK,2016,7,4,"The Demigod Files: Percy Jackson and the Olympians Series, Book 4.5",Rick Riordan,"Fantasy, Mythology, Short Stories, Young Adult Fiction",Disney Digital Books,2011
Digital,OverDrive,EBOOK,2016,7,17,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1",Rick Riordan,"Fantasy, Mythology, Young Adult Fiction",Disney Digital Books,2011
Digital,OverDrive,EBOOK,2016,8,3,Demigods and Monsters: Your Favorite Authors on Rick Riordan's Percy Jackson and the Olympians Series,Rick Riordan,"Juvenile Nonfiction, Literary Criticism",Perseus Books Group,2013
Digital,OverDrive,EBOOK,2016,8,3,"The Staff of Serapis: Percy Jackson & The Kane Chronicles Crossover Series, Book 2",Rick Riordan,"Fantasy, Mythology, Short Stories, Young Adult Fiction",Disney Digital Books,2016
Physical,Horizon,BOOK,2016,8,3,Demigods and monsters : your favorite authors on Rick Riordan's Percy Jackson and the Olympians series / edited and original introduction by Rick Riordan ; with Leah Wilson.,,"Riordan Rick Percy Jackson the Olympians Criticism and interpretation Juvenile literature, Childrens stories American History and criticism Juvenile literature, Fantasy fiction American History and criticism Juvenile literature","Smart Pop, an imprint of BenBella Books, Inc.,",[2013]
Digital,OverDrive,EBOOK,2016,8,4,"The Lightning Thief: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 1",Rick Riordan,"Comic and Graphic Books, Young Adult Fiction",Disney Digital Books,2016
Digital,OverDrive,EBOOK,2016,8,4,"The Staff of Serapis: Percy Jackson & The Kane Chronicles Crossover Series, Book 2",Rick Riordan,"Fantasy, Mythology, Short Stories, Young Adult Fiction",Disney Digital Books,2015
Physical,Horizon,SOUNDDISC,2016,8,1,Percy Jackson's Greek heroes [sound recording] / Rick Riordan.,"Riordan, Rick","Jackson Percy Fictitious character Juvenile fiction, Gods Greek Juvenile fiction, Mythology Greek Juvenile fiction, Jackson Percy Fictitious character Fiction, Gods Greek Fiction, Mythology Greek Fiction, Childrens audiobooks","Listening Library,",[2015]
Digital,OverDrive,AUDIOBOOK,2016,8,7,"The Titan's Curse: Percy Jackson and the Olympians Series, Book 3 (unabridged) (Unabridged)",Rick Riordan,"Fantasy, Mythology, Young Adult Fiction",Books on Tape,2007
Digital,OverDrive,AUDIOBOOK,2016,8,5,"The Demigod Files: Percy Jackson and the Olympians Series, Book 4.5 (unabridged) (Unabridged)",Rick Riordan,"Fantasy, Mythology, Short Stories, Young Adult Fiction",Books on Tape,2009
Digital,OverDrive,AUDIOBOOK,2016,8,8,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4 (unabridged) (Unabridged)",Rick Riordan,"Fantasy, Mythology, Young Adult Fiction",Books on Tape,2008
Digital,OverDrive,EBOOK,2016,8,2,"The Titan's Curse: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 3",Rick Riordan,"Comic and Graphic Books, Mythology, Young Adult Fiction",Disney Digital Books,2016
Physical,Horizon,VIDEODISC,2016,8,12,"Percy Jackson & the Olympians [videorecording] : the lightning thief / 20th Century Fox ; Dune Entertainment ; Fox 2000 Pictures ; a 1492 Pictures/Sunswept Entertainment production ; produced by Karen Rosenfelt, Christ Columbus, Michael Barnathan, Mark Radcliff ; screenplay by Craig Titley ; directed by Chris Columbus.",,"Jackson Percy Fictitious character Drama, Teenagers Conduct of life Drama, Zeus Greek deity Drama, Gods Greek Drama, Mythology Greek Drama, Malicious accusation Drama, Fantasy films, Action and adventure films, Feature films, Fiction films, Video recordings for people with visual disabilities, Video recordings for the hearing impaired","20th Century Fox Home Entertainment,",c2010.
